Coordinates,Name,Type,Address,Opening Hours,Cuisine_1,Cuisine_2,Street,Bezirk,PLZ
"[52.51218, 13.29749]",Figaro Wine & Food,Restaurant,Schloßstraße 33 Charlottenburg 14059 Berlin,Mon-Sun: 11:00 - 22:00,American,Italian,Schloßstraße 33,Charlottenburg,14059
"[52.51598, 13.30485]",Zur Mieze Katzenmusik Cafe,Coffee/Tea,Wilmersdorfer Straße 158 Charlottenburg 10585 Berlin,Tue-Sun: 09:30 - 19:00,,,Wilmersdorfer Straße 158,Charlottenburg,10585
"[52.51257, 13.30482]",Falafel,Snacks/Fast food,Wilmersdorfer Straße 32 Charlottenburg 10585 Berlin,Mon-Sun: 10:00 - 23:59,Middle Eastern,Asian,Wilmersdorfer Straße 32,Charlottenburg,10585
"[52.51163, 13.29758]",Castello,Restaurant,Schloßstraße 29 Charlottenburg 14059 Berlin,,Mediterranean,Pizza,Schloßstraße 29,Charlottenburg,14059
"[52.51556, 13.29199]",Röstwerk Kaffeerösterei,Restaurant,Seelingstraße 32 Charlottenburg 14059 Berlin,"Mon-Fri: 08:30 - 19:00 Sat, Sun: 10:00 - 19:00",,,Seelingstraße 32,Charlottenburg,14059
"[52.5133, 13.30474]",Sushi & Vietnam Kitchen,Restaurant,Wilmersdorfer Straße 29 Charlottenburg 10585 Berlin,,Asian,,Wilmersdorfer Straße 29,Charlottenburg,10585
"[52.51769, 13.29098]",Thuy Tien Sushi Bar,Restaurant,Klausenerplatz 14 Charlottenburg 14059 Berlin,,Asian,,Klausenerplatz 14,Charlottenburg,14059
"[52.51333, 13.29081]",Restaurant Kriti,Restaurant,Knobelsdorffstraße 38 Charlottenburg 14059 Berlin,"Mon: 12:00 - 23:00 Tue-Sat: 05:00 - 11:00, 12:00 - 23:00 Sun: 13:00 - 23:00",Greek,Sandwiches,Knobelsdorffstraße 38,Charlottenburg,14059
"[52.51458, 13.30502]",Laisla Cafe&Restaurant,Restaurant,Wilmersdorfer Straße 152A Charlottenburg 10585 Berlin,,Italian,,Wilmersdorfer Straße 152A,Charlottenburg,10585
"[52.51769, 13.29098]",Asia-Sushi Time,Restaurant,Klausenerplatz 14 Charlottenburg 14059 Berlin,Mon-Fri: 11:00 - 21:00 Sun: 12:00 - 21:00,Asian,,Klausenerplatz 14,Charlottenburg,14059
"[52.51551, 13.29116]",Berliner Eismanufaktur,Food & Drink,Seelingstraße 38 Charlottenburg 14059 Berlin,Mon-Sun: 13:00 - 19:00,Ice cream,,Seelingstraße 38,Charlottenburg,14059
"[52.51596, 13.30448]",Salumeria Tommaso,Restaurant,Wilmersdorfer Straße 15 Charlottenburg 10585 Berlin,Mon-Fri: 10:00 - 18:00 Sat: 10:00 - 14:00,Pizza,Italian,Wilmersdorfer Straße 15,Charlottenburg,10585
"[52.40302, 13.58579]",Dittmanns Drogerie,Restaurant,Kablower Weg 87 Bohnsdorf 12526 Berlin,Mon-Sun: 06:00 - 23:00,,,Kablower Weg 87,Bohnsdorf,12526
"[52.4078, 13.59907]",Hanffs Ruh,Restaurant,RabindranathTagoreStraße 25 Grünau 12527 Berlin,"Mon, Wed-Sun: 11:00 - 21:00",German,International,RabindranathTagoreStraße 25,Grünau,12527
"[52.39568, 13.57372]",Griechische Spezialitäten,Restaurant,Waltersdorfer Straße 38 Bohnsdorf 12526 Berlin,,Greek,,Waltersdorfer Straße 38,Bohnsdorf,12526
"[52.45096, 13.34087]",Duo Restaurant,Restaurant,Steglitzer Damm 29 Steglitz 12169 Berlin,Mon-Sat: 12:00 - 23:00 Sun: 11:00 - 23:00,Mediterranean,German,Steglitzer Damm 29,Steglitz,12169
"[52.45039, 13.34214]",Mamma Rosa,Restaurant,Steglitzer Damm 40 Steglitz 12169 Berlin,,Pizza,Italian,Steglitzer Damm 40,Steglitz,12169
"[52.45001, 13.34533]",Restaurant Zagreb,Restaurant,Steglitzer Damm 54 Steglitz 12169 Berlin,Mon-Sat: 11:30 - 23:30 Sun: 11:30 - 23:00,International,German,Steglitzer Damm 54,Steglitz,12169
"[52.45085, 13.34179]",Magna Coffee Store,Restaurant,Steglitzer Damm 33 Steglitz 12169 Berlin,"Mon-Fri: 08:00 - 19:00 Sat, Sun: 10:00 - 19:00",German,,Steglitzer Damm 33,Steglitz,12169
"[52.44785, 13.34024]",Chandi Restaurant,Restaurant,Albrechtstraße 52 Steglitz 12167 Berlin,Mon-Sun: 12:00 - 23:00,Asian,Indian,Albrechtstraße 52,Steglitz,12167
"[52.46221, 13.33897]",Groschen-Keller,Restaurant,Bismarckstraße 7 Steglitz 12157 Berlin,Tue-Sun: 12:00 - 22:00,German,,Bismarckstraße 7,Steglitz,12157
"[52.45901, 13.34272]",Ristoro Padre Pio,Restaurant,Bergstraße 62 Steglitz 12169 Berlin,Mon-Sat: 11:30 - 21:00,Italian,,Bergstraße 62,Steglitz,12169
"[52.4507, 13.33958]",Krasselt's Imbiss,Restaurant,Steglitzer Damm 22 Steglitz 12169 Berlin,Mon-Wed: 09:00 - 12:00 Thu-Sat: 09:00 - 13:00 Sun: 10:00 - 23:59,,,Steglitzer Damm 22,Steglitz,12169
"[52.44763, 13.36201]",Vodafone Aramark Kantine,Restaurant,Attilastraße 61 Tempelhof 12105 Berlin,Mon-Fri: 07:30 - 14:00,,,Attilastraße 61,Tempelhof,12105
"[52.44712, 13.36127]",Bistro Imbiss Ossowski,Restaurant,Attilastraße 68 Tempelhof 12105 Berlin,,,,Attilastraße 68,Tempelhof,12105
"[52.44846, 13.35689]",Cafe Pascha,Restaurant,Steglitzer Damm 106 Steglitz 12169 Berlin,,,,Steglitzer Damm 106,Steglitz,12169
"[52.45224, 13.3339]",China Restaurant Sichuan,Restaurant,Albrechtstraße 92 Steglitz 12167 Berlin,Mon-Sun: 12:00 - 23:00,Chinese - Cantonese,Asian,Albrechtstraße 92,Steglitz,12167
"[52.46221, 13.33897]",Ottmar Bonner & Petra Hilse,Restaurant,Bismarckstraße 7 Steglitz 12157 Berlin,,,,Bismarckstraße 7,Steglitz,12157
"[52.45083, 13.33849]",Kebap House,Snacks/Fast food,Steglitzer Damm 14 Steglitz 12169 Berlin,Mon-Sun: 09:30 - 00:00,Turkish,Hot Dogs,Steglitzer Damm 14,Steglitz,12169
"[52.45887, 13.33976]",Emona,Restaurant,Bergstraße 70 Steglitz 12169 Berlin,Mon-Sun: 09:00 - 23:00,German,International,Bergstraße 70,Steglitz,12169
"[52.45145, 13.33583]",Parthenon,Restaurant,Steglitzer Damm 1 Steglitz 12169 Berlin,Mon-Sat: 16:00 - 23:59 Sun: 12:00 - 23:59,International,German,Steglitzer Damm 1,Steglitz,12169
"[52.45887, 13.33976]",Restaurant Kadena,Restaurant,Bergstraße 70 Steglitz 12169 Berlin,Tue-Sun: 11:30 - 22:00,Mediterranean,Balkan,Bergstraße 70,Steglitz,12169
"[52.44766, 13.34138]",Big Drei China Restaurant,Restaurant,Albrechtstraße 74 Steglitz 12167 Berlin,,Chinese,Asian,Albrechtstraße 74,Steglitz,12167
"[52.44714, 13.34162]",Unser Kebap,Snacks/Fast food,Albrechtstraße 55 Steglitz 12167 Berlin,"Mon-Thu, Sun: 11:00 - 22:00 Fri, Sat: 11:00 - 23:00",Middle Eastern,,Albrechtstraße 55,Steglitz,12167
"[52.4493, 13.33865]",Café Burda’S,Restaurant,Albrechtstraße 80 Steglitz 12167 Berlin,,,,Albrechtstraße 80,Steglitz,12167
"[52.45138, 13.33648]",Eiscafe & Bubble Tea Bar Kunterbunt,Restaurant,Steglitzer Damm 5 Steglitz 12169 Berlin,Mon-Sun: 10:00 - 18:00,Ice cream,,Steglitzer Damm 5,Steglitz,12169
"[52.448885, 13.338594]",Restaurant am Rosengarten,Restaurant,Albrechtstraße 47 Steglitz 12167 Berlin,Mon: 12:00 - 19:00 Tue: 12:00 - 23:00 Wed-Sun: 11:00 - 23:00,German,European,Albrechtstraße 47,Steglitz,12167
"[52.46276, 13.33478]",Buon Café S,Restaurant,Poschingerstraße 34 Steglitz 12157 Berlin,"Mon-Fri: 07:00 - 19:00 Sat, Sun: 08:00 - 19:00",Brunch,,Poschingerstraße 34,Steglitz,12157
"[52.45668, 13.33881]",Chopsticks,Restaurant,Bismarckstraße 16F Steglitz 12169 Berlin,Mon-Sat: 10:00 - 21:00 Sun: 11:00 - 21:00,Asian,,Bismarckstraße 16F,Steglitz,12169
"[52.46293, 13.33875]",Eiscafe Lido,Restaurant,Sachsenwaldstraße 8 Steglitz 12157 Berlin,Mon-Sun: 12:00 - 19:00,Ice cream,,Sachsenwaldstraße 8,Steglitz,12157
"[52.44911, 13.35243]",La Ronda,Restaurant,Steglitzer Damm 90 Steglitz 12169 Berlin,Mon-Sun: 11:30 - 23:00,Steak,Pizza,Steglitzer Damm 90,Steglitz,12169
"[52.463, 13.34444]",Canova Berlin,Restaurant,Rubensstraße 124 Schöneberg 12157 Berlin,Mon-Sun: 12:00 - 23:59,German,,Rubensstraße 124,Schöneberg,12157
"[52.46276, 13.33478]",Merci Backshop,Restaurant,Poschingerstraße 34 Steglitz 12157 Berlin,,,,Poschingerstraße 34,Steglitz,12157
"[52.45098, 13.33913]",Eis Hennig,Restaurant,Steglitzer Damm Steglitz 12169 Berlin,,Ice cream,,Steglitzer Damm,Steglitz,12169
"[52.44722, 13.34225]",Piadina Mia,Restaurant,Albrechtstraße 70 Steglitz 12167 Berlin,Mon-Fri: 09:00 - 21:00 Sat: 10:00 - 21:00,Italian,,Albrechtstraße 70,Steglitz,12167
"[52.4496, 13.34854]",Kimchi Heim,Restaurant,Steglitzer Damm 72 Steglitz 12169 Berlin,"Mon, Tue: 17:00 - 22:00 Wed-Sat: 23:59 - 23:59",Asian,Korean,Steglitzer Damm 72,Steglitz,12169
"[52.45113, 13.33944]",Xochimilco,Restaurant,Steglitzer Damm 19 Steglitz 12169 Berlin,Mon-Fri: 08:30 - 18:30 Sat: 09:00 - 14:00 Sun: 11:00 - 17:00,,,Steglitzer Damm 19,Steglitz,12169
"[52.4598, 13.33974]",Spalato,Restaurant,Bismarckstraße 64 Steglitz 12169 Berlin,Mon-Sun: 12:00 - 23:00,International,Balkan,Bismarckstraße 64,Steglitz,12169
"[52.46208, 13.33875]",Gemüse Kebab Eat&Go,Restaurant,Lauenburger Platz 1 Steglitz 12157 Berlin,Mon-Fri: 10:30 - 22:00 Sat: 11:00 - 22:00 Sun: 12:00 - 22:00,Middle Eastern,,Lauenburger Platz 1,Steglitz,12157
"[52.44661, 13.34342]",Restaurant Tiamo,Restaurant,Albrechtstraße 69 Steglitz 12167 Berlin,Mon-Sun: 11:30 - 23:00,Pizza,Italian,Albrechtstraße 69,Steglitz,12167
"[52.45145, 13.33863]",Elias Gyrosland,Restaurant,Bismarckstraße 45 Steglitz 12169 Berlin,Mon-Sat: 11:00 - 23:00,Middle Eastern,Greek,Bismarckstraße 45,Steglitz,12169
"[52.44722, 13.34225]",Tonys Pizzeria & Ristorante,Restaurant,Albrechtstraße 70 Steglitz 12167 Berlin,Mon-Sun: 11:00 - 23:00,Asian,Pizza,Albrechtstraße 70,Steglitz,12167
"[52.44785, 13.34024]",Dalmata,Restaurant,Albrechtstraße 52 Steglitz 12167 Berlin,Mon-Sun: 12:00 - 22:00,Balkan,,Albrechtstraße 52,Steglitz,12167
"[52.45304, 13.33827]",Zaka Sushi,Eat & Drink,Bismarckstraße 32 Steglitz 12169 Berlin,Mon-Sat: 16:30 - 22:00 Sun: 14:00 - 22:00,Asian,Japanese - Sushi,Bismarckstraße 32,Steglitz,12169
"[52.44619, 13.34452]",Simon's Kneipe,Restaurant,Borstellstraße 48 Steglitz 12167 Berlin,,German,Italian,Borstellstraße 48,Steglitz,12167
"[52.46335, 13.33878]",Mare E Monti,Restaurant,Bismarckstraße 3 Steglitz 12157 Berlin,Mon-Sun: 12:00 - 00:00,Pizza,Grill,Bismarckstraße 3,Steglitz,12157
"[52.44714, 13.34162]",Snack Baalbeck,Restaurant,Albrechtstraße 55 Steglitz 12167 Berlin,,Middle Eastern,,Albrechtstraße 55,Steglitz,12167
"[52.45138, 13.33648]",Burger Bar 17,Restaurant,Steglitzer Damm 5 Steglitz 12169 Berlin,"Mon: 14:00 - 22:00 Tue, Wed: 16:00 - 00:00, 16:00 - 00:00 Thu: 14:00 - 00:00, 16:00 - 00:00 Fri: 14:00 - 12:00, 14:00 - 12:00, 16:00 - 02:00, 16:00 - 02:00 Sat: 14:00 - 02:00, 18:00 - 02:00 Sun: 15:00 - 23:00",Burgers,,Steglitzer Damm 5,Steglitz,12169
"[52.45903, 13.33575]",Good Friends,Restaurant,Friedrichsruher Platz Steglitz 12169 Berlin,,Asian,Chinese,Friedrichsruher Platz,Steglitz,12169
"[52.46335, 13.33878]",Maremonte,Restaurant,Bismarckstraße 3 Steglitz 12157 Berlin,,Pizza,Italian,Bismarckstraße 3,Steglitz,12157
"[52.45324, 13.32453]",Osteria Maria,Restaurant,Leydenallee 79 Steglitz 12167 Berlin,"Fri, Sat: 19:00 - 23:30 Sun: 14:00 - 18:00",Mediterranean,International,Leydenallee 79,Steglitz,12167
"[52.46415, 13.33093]",Henrys,Restaurant,Schöneberger Straße 11 Steglitz 12163 Berlin,Mon-Sun: 12:00 - 20:00,Ice cream,,Schöneberger Straße 11,Steglitz,12163
"[52.46407, 13.33113]",Bab & Kimchi,Restaurant,Schöneberger Straße 10 Steglitz 12163 Berlin,Mon-Sun: 12:00 - 22:00,Asian,Korean,Schöneberger Straße 10,Steglitz,12163
"[52.45797, 13.32925]",Finnegan's Irish Pub,Bar/Pub,Bergstraße 8 Steglitz 12169 Berlin,Mon: 17:00 - 23:59 Tue-Sun: 00:00 - 12:00,Irish,International,Bergstraße 8,Steglitz,12169
"[52.46686, 13.3425]",Call A Pizza,Restaurant,Cranachstraße 52 Schöneberg 12157 Berlin,Mon-Sun: 11:00 - 23:00,Pizza,,Cranachstraße 52,Schöneberg,12157
"[52.4461, 13.32911]",Call A Pizza,Restaurant,Birkbuschstraße 59 Steglitz 12167 Berlin,Mon-Sun: 11:00 - 23:00,Pizza,,Birkbuschstraße 59,Steglitz,12167
"[52.46369, 13.33229]",Don Gelato,Coffee/Tea,Feuerbachstraße 34 Steglitz 12163 Berlin,Mon-Sat: 11:00 - 18:00 Sun: 11:00 - 20:00,Italian,,Feuerbachstraße 34,Steglitz,12163
"[52.46332, 13.32992]",Udagawa,Restaurant,Feuerbachstraße 24 Steglitz 12163 Berlin,"Mon, Wed-Sun: 17:30 - 22:30",Asian,Japanese,Feuerbachstraße 24,Steglitz,12163
"[52.46316, 13.32883]",Mai Phai,Restaurant,Feuerbachstraße 16 Steglitz 12163 Berlin,Mon-Sun: 12:00 - 23:30,Asian,Thai,Feuerbachstraße 16,Steglitz,12163
"[52.45963, 13.36361]",Trattoria Tropea,Restaurant,Eythstraße 45 Schöneberg 12105 Berlin,Mon-Sun: 11:30 - 12:00,Pizza,Italian,Eythstraße 45,Schöneberg,12105
"[52.461893, 13.367418]",Comy,Restaurant,Bessemerstraße 57 Schöneberg 12103 Berlin,,Asian,Japanese - Sushi,Bessemerstraße 57,Schöneberg,12103
"[52.46369, 13.33229]",Pasta Focaccia,Restaurant,Feuerbachstraße 34 Steglitz 12163 Berlin,"Mon-Fri: 11:00 - 22:00 Sat, Sun: 12:00 - 22:00",Pizza,Italian,Feuerbachstraße 34,Steglitz,12163
"[52.45532, 13.32493]",Madonna del Castello,Restaurant,Schützenstraße 1 Steglitz 12165 Berlin,Mon-Sat: 12:00 - 23:00 Sun: 15:00 - 23:00,Pizza,Italian,Schützenstraße 1,Steglitz,12165
"[52.45572, 13.32383]",Kümes Chickenhouse,Restaurant,Berlinickestraße 16 Steglitz 12165 Berlin,,Chicken,,Berlinickestraße 16,Steglitz,12165
"[52.45197, 13.33006]",Pizza Max Steglitz,Eat & Drink,Klingsorstraße 14 Steglitz 12167 Berlin,Mon-Sun: 11:00 - 23:00,Pizza,,Klingsorstraße 14,Steglitz,12167
"[52.45265, 13.33049]",Restaurant le Canard,Restaurant,Klingsorstraße 8 Steglitz 12167 Berlin,Tue-Sat: 16:00 - 23:00 Sun: 12:00 - 23:00,Mediterranean,French,Klingsorstraße 8,Steglitz,12167
"[52.46691, 13.34394]",Berlinchen,Bar/Pub,Rubensstraße 88 Schöneberg 12157 Berlin,,,,Rubensstraße 88,Schöneberg,12157
"[52.46369, 13.33229]",Feuerbach Spiel Berlin,Business/Industry,Feuerbachstraße 34 Steglitz 12163 Berlin,,,,Feuerbachstraße 34,Steglitz,12163
"[52.45128, 13.32997]",Saiko Sushi,Restaurant,Klingsorstraße 19 Steglitz 12167 Berlin,,Asian,Japanese - Sushi,Klingsorstraße 19,Steglitz,12167
"[52.45501, 13.32455]",Weinbasis Weinbar & Weinhandel,Restaurant,Schützenstraße 3 Steglitz 12165 Berlin,"Tue, Sun: 17:00 - 22:00 Wed-Sat: 17:00 - 00:00, 17:00 - 00:00",,,Schützenstraße 3,Steglitz,12165
"[52.46694, 13.34302]",Bergamotto,Restaurant,Beckerstraße 23 Schöneberg 12157 Berlin,,German,,Beckerstraße 23,Schöneberg,12157
"[52.44002, 13.3427]",Golden Tea Garden,Restaurant,Leonorenstraße 60 Lankwitz 12247 Berlin,,Asian,Chinese,Leonorenstraße 60,Lankwitz,12247
"[52.45596, 13.32468]",Jing Yang,Restaurant,Albrechtstraße 125 Steglitz 12165 Berlin,Mon-Sat: 12:00 - 22:00,Asian,Chinese,Albrechtstraße 125,Steglitz,12165
"[52.44675, 13.32784]",Zum Borstel,Bar/Pub,Birkbuschstraße 62 Steglitz 12167 Berlin,,,,Birkbuschstraße 62,Steglitz,12167
"[52.46702, 13.33871]",Miséria & Nobilta,Restaurant,Beckerstraße 12 Schöneberg 12157 Berlin,,Italian,,Beckerstraße 12,Schöneberg,12157
"[52.45536, 13.32616]",Pizzeria la Mama,Restaurant,Albrechtstraße 119 Steglitz 12167 Berlin,Mon-Sat: 11:00 - 22:00 Sun: 12:00 - 22:00,Pizza,Italian,Albrechtstraße 119,Steglitz,12167
"[52.46369, 13.33229]",Gyros Grill,Restaurant,Feuerbachstraße 34 Steglitz 12163 Berlin,Mon-Sun: 10:00 - 00:00,Greek,,Feuerbachstraße 34,Steglitz,12163
"[52.45485, 13.32744]",Manhattan Pizza,Restaurant,Albrechtstraße 114 Steglitz 12167 Berlin,Tue-Sun: 11:00 - 22:45,Pizza,Burgers,Albrechtstraße 114,Steglitz,12167
"[52.46438, 13.34283]",Frohsinn,Restaurant,Cranachstraße 39 Schöneberg 12157 Berlin,"Mon: 16:00 - 12:00 Tue, Wed: 16:00 - 12:00, 16:00 - 23:45 Thu: 16:00 - 13:00, 16:00 - 23:45 Fri: 12:00 - 13:30, 16:00 - 01:00, 16:00 - 23:45 Sat: 12:00 - 01:00, 12:00 - 23:45 Sun: 12:00 - 23:00",International,,Cranachstraße 39,Schöneberg,12157
"[52.44557, 13.33043]",Cafe-Kneipe Sedan,Restaurant,Sedanstraße 25 Steglitz 12167 Berlin,Mon-Sun: 09:00 - 23:00,,,Sedanstraße 25,Steglitz,12167
"[52.46463, 13.33863]",La Marianna,Restaurant,Feuerbachstraße 63 Steglitz 12163 Berlin,Mon-Sun: 12:00 - 23:59,Mediterranean,Pizza,Feuerbachstraße 63,Steglitz,12163
"[52.45982, 13.32579]",Cafe Xerima,Bar/Pub,Hubertusstraße 6 Steglitz 12163 Berlin,"Mon-Thu: 15:00 - 02:00, 15:00 - 02:00, 17:00 - 23:59 Fri, Sat: 17:00 - 03:00, 17:00 - 03:00, 17:00 - 23:59 Sun: 17:00 - 02:00, 17:00 - 02:00, 17:00 - 23:59",,,Hubertusstraße 6,Steglitz,12163
"[52.45463, 13.32799]",Thai Food Sushi Bar,Restaurant,Albrechtstraße 112 Steglitz 12167 Berlin,Mon-Sun: 10:00 - 22:00,Asian,Chinese,Albrechtstraße 112,Steglitz,12167
"[52.46632, 13.33442]",Kultur Café,"Theatre, Music & Culture",Holsteinische Straße 30 Steglitz 12161 Berlin,,,,Holsteinische Straße 30,Steglitz,12161
"[52.44142, 13.35357]",Bei Maria,Restaurant,KaiserWilhelmStraße 129 Lankwitz 12247 Berlin,,,,KaiserWilhelmStraße 129,Lankwitz,12247
"[52.44002, 13.3427]",Croque Berlin,Restaurant,Leonorenstraße 60 Lankwitz 12247 Berlin,,,,Leonorenstraße 60,Lankwitz,12247
"[52.45803, 13.32432]",Asia-Fast-Food,Restaurant,Düppelstraße 34 Steglitz 12163 Berlin,"Mon-Fri: 11:00 - 22:00 Sat, Sun: 12:00 - 22:00",Asian,,Düppelstraße 34,Steglitz,12163
"[52.46422, 13.33864]",Annagrazia,Food & Drink,Bismarckstraße 1 Steglitz 12157 Berlin,Mon-Sun: 10:00 - 20:00,Ice cream,,Bismarckstraße 1,Steglitz,12157
"[52.45546, 13.32508]",La Parrilla,Restaurant,Albrechtstraße 11 Steglitz 12165 Berlin,,Argentinean,,Albrechtstraße 11,Steglitz,12165
"[52.46288, 13.32804]",Dalmacija,Restaurant,Holsteinische Straße 55 Steglitz 12163 Berlin,Tue-Sun: 12:00 - 23:00,International,Balkan,Holsteinische Straße 55,Steglitz,12163
"[52.46702, 13.33871]",Italian Ristorante 41 Quarantuno,Restaurant,Beckerstraße 12 Schöneberg 12157 Berlin,Mon-Sat: 16:00 - 23:00 Sun: 12:00 - 23:00,Pizza,Sicilian,Beckerstraße 12,Schöneberg,12157
"[52.4551, 13.32511]",La Casserole,Restaurant,Schützenstraße 54 Steglitz 12165 Berlin,Mon-Sat: 12:00 - 00:00,Middle Eastern,Mediterranean,Schützenstraße 54,Steglitz,12165
"[52.44002, 13.3427]",King do,Restaurant,Leonorenstraße 60 Lankwitz 12247 Berlin,"Mon-Thu, Sat, Sun: 11:30 - 22:00 Fri: 12:00 - 22:00",Asian,Thai,Leonorenstraße 60,Lankwitz,12247
"[52.46671, 13.33894]",Pigasos,Restaurant,Beckerstraße 15 Schöneberg 12157 Berlin,,German,Greek,Beckerstraße 15,Schöneberg,12157
"[52.45593, 13.32401]",Coreana,Restaurant,Albrechtstraße 7 Steglitz 12165 Berlin,,Asian,Korean,Albrechtstraße 7,Steglitz,12165
"[52.45509, 13.32376]",Dottir,Restaurant,Mittelstraße 40 Steglitz 12165 Berlin,,,,Mittelstraße 40,Steglitz,12165
"[52.46812, 13.34234]",Cafe Lotte Jakob,Coffee/Tea,Cranachstraße 58 Schöneberg 12157 Berlin,Mon-Fri: 10:00 - 18:00 Sun: 14:00 - 18:00,,,Cranachstraße 58,Schöneberg,12157
"[52.45963, 13.36361]",Trattoria da Pizzo,Restaurant,Eythstraße 45 Schöneberg 12105 Berlin,Mon-Sun: 12:00 - 12:00,Mediterranean,Pizza,Eythstraße 45,Schöneberg,12105
"[52.44168, 13.35395]",Il Pavone,Restaurant,KaiserWilhelmStraße 129A Lankwitz 12247 Berlin,,Italian,,KaiserWilhelmStraße 129A,Lankwitz,12247
"[52.4549, 13.32441]",Die Kaffeenauten,Coffee/Tea,Schützenstraße 4 Steglitz 12165 Berlin,Mon-Fri: 09:00 - 18:00 Sat: 10:00 - 18:00,,,Schützenstraße 4,Steglitz,12165
"[52.46729, 13.34245]",Licht des Sudens,Snacks/Fast food,Cranachstraße 53 Schöneberg 12157 Berlin,Mon-Fri: 08:00 - 19:00 Sat: 08:00 - 13:00,,,Cranachstraße 53,Schöneberg,12157
"[52.45794, 13.32881]",Trattoria Siciliana,Restaurant,Bergstraße 7 Steglitz 12169 Berlin,Mon-Sat: 12:00 - 12:00 Sun: 10:30 - 12:00,Pizza,Italian,Bergstraße 7,Steglitz,12169
"[52.45794, 13.32881]",Pizza Abholen Steglitz,Restaurant,Bergstraße 7 Steglitz 12169 Berlin,Mon-Sat: 16:00 - 00:00 Sun: 12:00 - 00:00,Pizza,Italian,Bergstraße 7,Steglitz,12169
"[52.46744, 13.34194]",Sairan,Restaurant,Cranachstraße 11 Schöneberg 12157 Berlin,,Asian,,Cranachstraße 11,Schöneberg,12157
"[52.4532, 13.45231]",Pizzeria Arrabbiata,Restaurant,Buschkrugallee 121 Britz 12359 Berlin,Mon-Sun: 11:00 - 23:59,Pizza,,Buschkrugallee 121,Britz,12359
"[52.45411, 13.45093]",Café am Buschkrug,Restaurant,Buschkrugallee 110 Britz 12359 Berlin,,,,Buschkrugallee 110,Britz,12359
"[52.4532, 13.45231]",Toscania City,Restaurant,Buschkrugallee 121 Britz 12359 Berlin,"Mon-Fri: 12:00 - 12:00 Sat, Sun: 11:00 - 12:00",,,Buschkrugallee 121,Britz,12359
"[52.45857, 13.44761]",Taverna Argo,Restaurant,Buschkrugallee 54 Britz 12359 Berlin,"Mon-Fri: 15:00 - 23:59 Sat, Sun: 12:00 - 23:59",German,Greek,Buschkrugallee 54,Britz,12359
"[52.45819, 13.44789]",Le Jardin,Restaurant,Buschkrugallee 60 Britz 12359 Berlin,,German,,Buschkrugallee 60,Britz,12359
"[52.45848, 13.44767]",Muttis Kleine Pause,Restaurant,Buschkrugallee 56 Britz 12359 Berlin,,International,,Buschkrugallee 56,Britz,12359
"[52.4552, 13.44484]",Gallo Nero,Restaurant,Hannemannstraße 34 Britz 12347 Berlin,"Mon, Wed-Sun: 12:00 - 00:00",,,Hannemannstraße 34,Britz,12347
"[52.44797, 13.44963]",Zum Hufeisen,Restaurant,FritzReuterAllee 48 Britz 12359 Berlin,Mon-Sun: 12:00 - 23:00,Balkan,Barbecue,FritzReuterAllee 48,Britz,12359
"[52.459102, 13.447738]",Big Burger by Mustafa,Snacks/Fast food,Buschkrugallee Britz 12359 Berlin,,Middle Eastern,Burgers,Buschkrugallee,Britz,12359
"[52.4549, 13.4374]",Britzer Stübchen,Restaurant,Britzer Damm 88 Britz 12347 Berlin,,,,Britzer Damm 88,Britz,12347
"[52.45631, 13.43734]",Avala-Grill,Restaurant,Britzer Damm 71 Britz 12347 Berlin,Tue-Sun: 12:00 - 20:00,American,Grill,Britzer Damm 71,Britz,12347
"[52.45646, 13.43677]",Nuovoforno,Restaurant,Britzer Damm 68 Britz 12347 Berlin,Mon-Sun: 11:00 - 23:00,Middle Eastern,Italian,Britzer Damm 68,Britz,12347
"[52.45154, 13.43842]",Dana Pani,Restaurant,Britzer Damm 125 Britz 12347 Berlin,Mon-Sun: 11:00 - 12:00,Asian,Indian,Britzer Damm 125,Britz,12347
"[52.46139, 13.44362]",Suden Gartenwirtschaft,Restaurant,Priesterweg 10 Britz 12347 Berlin,,German,,Priesterweg 10,Britz,12347
"[52.45579, 13.43704]",La Mia,Restaurant,Britzer Damm 78 Britz 12347 Berlin,"Mon-Thu, Sat, Sun: 12:00 - 22:15 Fri: 22:15 - 22:15",Pizza,Italian,Britzer Damm 78,Britz,12347
"[52.45204, 13.43779]",Curry Paule,Snacks/Fast food,Britzer Damm 120 Britz 12347 Berlin,"Mon-Fri: 08:00 - 12:00 Sat, Sun: 10:00 - 12:00",German,,Britzer Damm 120,Britz,12347
"[52.44917, 13.43669]",Zum Britzer Krug,Restaurant,Britzer Damm 153 Britz 12347 Berlin,,German,,Britzer Damm 153,Britz,12347
"[52.46124, 13.44564]",Pizzeria Mona Mia,Restaurant,Buschkrugallee 32 Britz 12359 Berlin,Mon-Sun: 11:30 - 12:00,Pizza,European,Buschkrugallee 32,Britz,12359
"[52.4607, 13.4325]",Aladins Wundersnack,Restaurant,Germaniapromenade 18 Britz 12347 Berlin,Mon-Sun: 10:00 - 22:00,Pizza,Italian,Germaniapromenade 18,Britz,12347
"[52.44558, 13.44549]",Sumak,Restaurant,Parchimer Allee 101 Britz 12359 Berlin,"Mon-Fri: 09:00 - 23:00 Sat, Sun: 10:00 - 22:00",Middle Eastern,,Parchimer Allee 101,Britz,12359
