,restaurant_name,type,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,opening_hours,database
951,Ristorante Il Paese,Restaurant,italian,Demminer Straße 13 Gesundbrunnen 13355 Berlin,Demminer Straße 13,13355,Gesundbrunnen,"52.542, 13.39768",52.542,13.39768,Mon-Sat: 16:00 - 22:00 Sun: 13:00 - 20:00,here_maps
952,Dalmacija,Restaurant,european,Brunnenstraße Gesundbrunnen 13355 Berlin,Brunnenstraße,13355,Gesundbrunnen,"52.540325, 13.39471",52.540325,13.39471,Tue-Sun: 12:00 - 22:00,here_maps
953,Asia Spezialitäten,Snacks/Fast food,asian,Brunnenstraße 117 Gesundbrunnen 13355 Berlin,Brunnenstraße 117,13355,Gesundbrunnen,"52.5415, 13.39316",52.5415,13.39316,,here_maps
954,Akram Arabic Diner,Restaurant,middle eastern,Brunnenstraße 98 Gesundbrunnen 13355 Berlin,Brunnenstraße 98,13355,Gesundbrunnen,"52.54618, 13.39027",52.54618,13.39027,Mon-Sun: 07:00 - 23:00,here_maps
955,Sveda - Great Food & Drinks,Restaurant,european,Schwedter Straße 79 Prenzlauer Berg 10437 Berlin,Schwedter Straße 79 Prenzlauer,10437,Berg,"52.54776, 13.40108",52.54776,13.40108,,here_maps
956,Prinzen Falafel,Snacks/Fast food,middle eastern,Bernauer Straße 63 Gesundbrunnen 13355 Berlin,Bernauer Straße 63,13355,Gesundbrunnen,"52.54027, 13.40246",52.54027,13.40246,"Mon-Fri: 09:00 - 00:00, 09:00 - 00:00 Sat, Sun: 10:00 - 00:00, 10:00 - 00:00",here_maps
957,Maximilian,Snacks/Fast food,european,Brunnenstraße 78 Gesundbrunnen 13355 Berlin,Brunnenstraße 78,13355,Gesundbrunnen,"52.54316, 13.39266",52.54316,13.39266,,here_maps
958,Multi-Shop Eisenkralle,Restaurant,,Swinemünder Straße Gesundbrunnen 13355 Berlin,Swinemünder Straße,13355,Gesundbrunnen,"52.54341, 13.39695",52.54341,13.39695,,here_maps
959,TU Desayuno Berlin,Restaurant,asian,Wattstraße Gesundbrunnen 13355 Berlin,Wattstraße,13355,Gesundbrunnen,"52.54069, 13.38975",52.54069,13.38975,Mon-Sat: 09:00 - 20:30,here_maps
960,Hongkong Garden,Restaurant,asian,Brunnenstraße 98 Gesundbrunnen 13355 Berlin,Brunnenstraße 98,13355,Gesundbrunnen,"52.54618, 13.39027",52.54618,13.39027,,here_maps
961,Unicorn.Berlin,Restaurant,,Voltastraße 5 Gesundbrunnen 13355 Berlin,Voltastraße 5,13355,Gesundbrunnen,"52.542, 13.39051",52.542,13.39051,,here_maps
962,Fried ICE Cream,Shop,breakfast/dessert,Bernauer Straße 63 Gesundbrunnen 13355 Berlin,Bernauer Straße 63,13355,Gesundbrunnen,"52.54027, 13.40246",52.54027,13.40246,,here_maps
963,Der Wurstmann,Snacks/Fast food,american,Wolliner Straße 34 Gesundbrunnen 13355 Berlin,Wolliner Straße 34,13355,Gesundbrunnen,"52.5423, 13.39943",52.5423,13.39943,,here_maps
964,Sun Day Burgers,Restaurant,fastfood,Gesundbrunnen 13355 Berlin,,,,"52.542055, 13.402537",52.542055,13.402537,,here_maps
965,Eis Henri,Food & Drink,breakfast/dessert,Brunnenstraße 96 Gesundbrunnen 13355 Berlin,Brunnenstraße 96,13355,Gesundbrunnen,"52.5459, 13.39049",52.5459,13.39049,,here_maps
966,Unicorn,Accommodation,,Brunnenstraße 64 Gesundbrunnen 13355 Berlin,Brunnenstraße 64,13355,Gesundbrunnen,"52.54051, 13.3948",52.54051,13.3948,Mon-Fri: 09:00 - 18:00,here_maps
967,Cholila,Restaurant,breakfast/dessert,Gleimstraße 54 Prenzlauer Berg 10437 Berlin,Gleimstraße 54 Prenzlauer,10437,Berg,"52.54697, 13.4037",52.54697,13.4037,"Mon, Fri: 12:00 - 18:00 Tue-Thu, Sat, Sun: 12:00 - 20:00",here_maps
968,Reis Mama,Restaurant,asian,Brunnenstraße 85 Gesundbrunnen 13355 Berlin,Brunnenstraße 85,13355,Gesundbrunnen,"52.54414, 13.39191",52.54414,13.39191,"Mon-Fri: 11:00 - 22:00 Sat, Sun: 12:00 - 22:00",here_maps
969,Prater,Restaurant,steak,Kastanienallee 7 Prenzlauer Berg 10435 Berlin,Kastanienallee 7 Prenzlauer,10435,Berg,"52.53983, 13.41077",52.53983,13.41077,Mon-Sat: 18:00 - 23:00 Sun: 12:00 - 23:00,here_maps
970,Bonanza Coffee,Restaurant,,Oderberger Straße 35 Prenzlauer Berg 10435 Berlin,Oderberger Straße 35 Prenzlauer,10435,Berg,"52.53996, 13.40545",52.53996,13.40545,"Mon-Fri: 08:30 - 18:00 Sat, Sun: 10:00 - 18:00",here_maps
971,Kochu Karu,Restaurant,asian,Eberswalder Straße 35 Prenzlauer Berg 10437 Berlin,Eberswalder Straße 35 Prenzlauer,10437,Berg,"52.54146, 13.40909",52.54146,13.40909,,here_maps
972,Oderquelle,Restaurant,european,Oderberger Straße 27 Prenzlauer Berg 10435 Berlin,Oderberger Straße 27 Prenzlauer,10435,Berg,"52.54015, 13.40607",52.54015,13.40607,Mon-Sat: 18:00 - 01:00 Sun: 12:00 - 01:00,here_maps
973,The Bird,Restaurant,fastfood,Am Falkplatz 5 Prenzlauer Berg 10437 Berlin,Am Falkplatz 5 Prenzlauer,10437,Berg,"52.54674, 13.40575",52.54674,13.40575,"Mon-Thu: 18:00 - 23:00 Fri: 16:00 - 00:00, 16:00 - 00:00, 16:00 - 00:00, 16:00 - 00:00 Sat: 12:00 - 00:00, 12:00 - 00:00, 12:00 - 00:00, 12:00 - 00:00 Sun: 12:00 - 23:00",here_maps
974,Mangelwirtschaft,Bar/Pub,european,PaulRobesonStraße 42 Prenzlauer Berg 10439 Berlin,PaulRobesonStraße 42 Prenzlauer,10439,Berg,"52.55216, 13.41179",52.55216,13.41179,Mon-Sat: 10:00 - 21:00 Sun: 12:00 - 21:00,here_maps
975,Lola Was Here,Restaurant,asian,Seelower Straße 8 Prenzlauer Berg 10439 Berlin,Seelower Straße 8 Prenzlauer,10439,Berg,"52.55182, 13.41081",52.55182,13.41081,"Mon-Fri: 09:00 - 18:00 Sat, Sun: 10:00 - 18:00",here_maps
976,Song Nguu,Restaurant,asian,Am Falkplatz 5 Prenzlauer Berg 10437 Berlin,Am Falkplatz 5 Prenzlauer,10437,Berg,"52.54674, 13.40575",52.54674,13.40575,Mon: 12:00 - 23:00 Tue-Sun: 12:00 - 22:00,here_maps
977,Pune Indishes Restaurant & Cocktailbar,Restaurant,asian,Oderberger Straße 28 Prenzlauer Berg 10435 Berlin,Oderberger Straße 28 Prenzlauer,10435,Berg,"52.54023, 13.40586",52.54023,13.40586,Mon-Sun: 12:00 - 23:30,here_maps
978,Yogu Ono,Restaurant,breakfast/dessert,Oderberger Straße 6 Prenzlauer Berg 10435 Berlin,Oderberger Straße 6 Prenzlauer,10435,Berg,"52.53848, 13.41049",52.53848,13.41049,Mon-Sun: 13:00 - 18:30,here_maps
979,La Premiata Ditta Weinbar,Restaurant,mediterranean,Kopenhagener Straße 12 Prenzlauer Berg 10437 Berlin,Kopenhagener Straße 12 Prenzlauer,10437,Berg,"52.5492, 13.40958",52.5492,13.40958,Mon-Fri: 11:00 - 23:00 Sat: 13:00 - 23:00 Sun: 13:00 - 22:00,here_maps
980,Phuoc,Restaurant,asian,Schivelbeiner Straße 26 Prenzlauer Berg 10439 Berlin,Schivelbeiner Straße 26 Prenzlauer,10439,Berg,"52.55111, 13.40532",52.55111,13.40532,"Mon-Fri: 11:30 - 22:00 Sat, Sun: 15:00 - 22:00",here_maps
981,Neugruns Koche,Restaurant,,Schönhauser Allee 135 Prenzlauer Berg 10437 Berlin,Schönhauser Allee 135 Prenzlauer,10437,Berg,"52.54397, 13.41202",52.54397,13.41202,"Wed, Thu: 19:00 - 00:00 Fri, Sat: 19:00 - 00:30",here_maps
982,Goa II,Restaurant,asian,Gleimstraße 17 Prenzlauer Berg 10437 Berlin,Gleimstraße 17 Prenzlauer,10437,Berg,"52.54712, 13.40869",52.54712,13.40869,Mon-Sun: 12:00 - 23:45,here_maps
983,Salvatore Pulvermacher,Bar/Pub,,Cantianstraße 21 Prenzlauer Berg 10437 Berlin,Cantianstraße 21 Prenzlauer,10437,Berg,"52.54707, 13.40948",52.54707,13.40948,Mon-Sat: 18:00 - 01:00,here_maps
984,Par Creamery,Restaurant,breakfast/dessert,Oderberger Straße 38 Prenzlauer Berg 10435 Berlin,Oderberger Straße 38 Prenzlauer,10435,Berg,"52.53971, 13.40611",52.53971,13.40611,"Mon-Thu: 13:00 - 21:00 Fri: 14:00 - 21:00 Sat, Sun: 12:00 - 21:00",here_maps
985,Kohlenquelle,Restaurant,breakfast/dessert,Kopenhagener Straße 16 Prenzlauer Berg 10437 Berlin,Kopenhagener Straße 16 Prenzlauer,10437,Berg,"52.54915, 13.40823",52.54915,13.40823,"Mon: 08:00 - 01:00 Tue-Thu: 08:00 - 02:00 Fri: 08:00 - 03:00 Sat: 10:00 - 03:00 Sun: 10:00 - 02:00, 10:00 - 02:00, 11:00 - 01:00",here_maps
986,26 Shibuya,Restaurant,seafood,Kastanienallee 26 Prenzlauer Berg 10435 Berlin,Kastanienallee 26 Prenzlauer,10435,Berg,"52.53743, 13.40823",52.53743,13.40823,"Mon-Thu, Sat, Sun: 12:00 - 23:00 Fri: 12:00 - 23:30",here_maps
987,Roji,Restaurant,asian,Oderberger Straße 11 Prenzlauer Berg 10435 Berlin,Oderberger Straße 11 Prenzlauer,10435,Berg,"52.539, 13.40912",52.539,13.40912,Mon-Thu: 17:00 - 22:30 Fri-Sun: 12:00 - 22:30,here_maps
988,Morning Glory,Coffee/Tea,,Kastanienallee 75 Prenzlauer Berg 10435 Berlin,Kastanienallee 75 Prenzlauer,10435,Berg,"52.53632, 13.40764",52.53632,13.40764,"Mon-Fri: 08:00 - 19:30 Sat, Sun: 09:30 - 19:30",here_maps
989,Tapitas,Restaurant,mediterranean,Gleimstraße 23 Prenzlauer Berg 10437 Berlin,Gleimstraße 23 Prenzlauer,10437,Berg,"52.54734, 13.41104",52.54734,13.41104,Mon-Sun: 16:00 - 00:00,here_maps
990,Onkel Ho,Restaurant,asian,Gleimstraße 10 Prenzlauer Berg 10437 Berlin,Gleimstraße 10 Prenzlauer,10437,Berg,"52.54687, 13.4059",52.54687,13.4059,"Mon-Fri: 12:00 - 23:59 Sat, Sun: 13:00 - 23:59",here_maps
991,Ribs Revolution,Restaurant,american,Choriner Straße 35 Prenzlauer Berg 10435 Berlin,Choriner Straße 35 Prenzlauer,10435,Berg,"52.53644, 13.41054",52.53644,13.41054,Tue-Sat: 17:00 - 23:00 Sun: 17:00 - 22:00,here_maps
992,Restaurant 51,Restaurant,asian,Oderberger Straße 51 Prenzlauer Berg 10435 Berlin,Oderberger Straße 51 Prenzlauer,10435,Berg,"52.5387, 13.40879",52.5387,13.40879,"Mon-Thu, Sun: 12:00 - 23:00 Fri, Sat: 12:00 - 00:00",here_maps
993,Arirang Bulgogi,Restaurant,asian,Bornholmer Straße 85 Prenzlauer Berg 10439 Berlin,Bornholmer Straße 85 Prenzlauer,10439,Berg,"52.55368, 13.40981",52.55368,13.40981,Mon-Sun: 12:00 - 23:00,here_maps
994,The Bird Barbecue,Restaurant,fastfood,Oderberger Straße 61 Prenzlauer Berg 10435 Berlin,Oderberger Straße 61 Prenzlauer,10435,Berg,"52.53778, 13.41125",52.53778,13.41125,Mon-Wed: 18:00 - 23:00 Thu: 18:00 - 00:00 Fri: 18:00 - 01:00 Sat: 17:00 - 01:00 Sun: 16:00 - 21:30,here_maps
995,F Bar,Bar/Pub,,Grüntaler Straße 9 Gesundbrunnen 13357 Berlin,Grüntaler Straße 9,13357,Gesundbrunnen,"52.55194, 13.38675",52.55194,13.38675,Mon-Sun: 23:59 - 23:59,here_maps
996,My Daddy's Gelateria,Food & Drink,european,Grüntaler Straße 13 Gesundbrunnen 13357 Berlin,Grüntaler Straße 13,13357,Gesundbrunnen,"52.55239, 13.38737",52.55239,13.38737,Mon-Sun: 12:00 - 22:00,here_maps
997,Der Neue Weltempfaenger,Accommodation,,Anklamer Straße 27 Mitte 10115 Berlin,Anklamer Straße 27,10115,Mitte,"52.53655, 13.40074",52.53655,13.40074,Tue-Fri: 08:00 - 00:00 Sat: 08:00 - 17:00 Sun: 08:00 - 18:00,here_maps
998,Cookies and Cream,Coffee/Tea,breakfast/dessert,Kremmener Straße 8 Mitte 10435 Berlin,Kremmener Straße 8,10435,Mitte,"52.53939, 13.40251",52.53939,13.40251,"Tue-Fri: 15:00 - 19:00 Sat, Sun: 12:00 - 19:00",here_maps
999,Vedis,Restaurant,middle eastern,Schönhauser Allee 142 Prenzlauer Berg 10437 Berlin,Schönhauser Allee 142 Prenzlauer,10437,Berg,"52.54172, 13.41178",52.54172,13.41178,"Mon-Thu, Sun: 12:00 - 00:00, 12:00 - 00:00, 12:00 - 00:00, 12:00 - 00:00, 12:00 - 00:00, 12:00 - 23:59 Fri, Sat: 12:00 - 02:00, 12:00 - 02:00, 12:00 - 02:00, 12:00 - 02:00, 12:00 - 02:00, 12:00 - 02:00",here_maps
1000,Kyo Japanese Grill,Restaurant,asian,Kastanienallee 23 Prenzlauer Berg 10435 Berlin,Kastanienallee 23 Prenzlauer,10435,Berg,"52.53783, 13.40865",52.53783,13.40865,"Mon-Fri: 12:00 - 23:00 Sat, Sun: 14:00 - 23:00",here_maps
1001,Studio 8 Bar Gallery,Bar/Pub,,Grüntaler Straße 8 Gesundbrunnen 13357 Berlin,Grüntaler Straße 8,13357,Gesundbrunnen,"52.55177, 13.38653",52.55177,13.38653,"Mon-Wed, Sun: 19:00 - 08:00, 19:00 - 06:00 Thu-Sat: 18:00 - 08:00, 19:00 - 06:00",here_maps
1002,Tbilisi,Restaurant,european,Schönfließer Straße 15 Prenzlauer Berg 10439 Berlin,Schönfließer Straße 15 Prenzlauer,10439,Berg,"52.55188, 13.4081",52.55188,13.4081,"Mon, Tue: 17:00 - 00:00 Wed-Fri: 17:00 - 00:00, 17:00 - 21:30 Sat: 16:00 - 00:00, 17:00 - 21:30 Sun: 12:00 - 21:30",here_maps
1003,Oderberger Restaurant,Restaurant,european,Oderberger Straße 57 Prenzlauer Berg 10435 Berlin,Oderberger Straße 57 Prenzlauer,10435,Berg,"52.53802, 13.4106",52.53802,13.4106,"Mon-Fri: 07:00 - 10:30 Sat, Sun: 07:00 - 11:00",here_maps
1004,Cafe & Bar Norah,Restaurant,mediterranean,Gleimstraße 12 Prenzlauer Berg 10437 Berlin,Gleimstraße 12 Prenzlauer,10437,Berg,"52.54693, 13.40661",52.54693,13.40661,"Mon, Wed-Fri: 15:00 - 00:00 Sat, Sun: 12:00 - 23:00",here_maps
1005,Varga Hennecke,Restaurant,breakfast/dessert,Oderberger Straße 14 Prenzlauer Berg 10435 Berlin,Oderberger Straße 14 Prenzlauer,10435,Berg,"52.53919, 13.40863",52.53919,13.40863,"Mon, Tue, Thu-Sat: 10:00 - 23:59 Wed: 10:00 - 23:45 Sun: 10:00 - 17:00",here_maps
1006,Mauerwinzer,Bar/Pub,european,Wolliner Straße 20 Mitte 10435 Berlin,Wolliner Straße 20,10435,Mitte,"52.53936, 13.40214",52.53936,13.40214,Mon-Sun: 16:00 - 23:00,here_maps
1007,Dong do,Restaurant,asian,Eberswalder Straße 27 Prenzlauer Berg 10437 Berlin,Eberswalder Straße 27 Prenzlauer,10437,Berg,"52.54129, 13.41107",52.54129,13.41107,Mon-Sun: 12:00 - 23:00,here_maps
1008,Factory Kitchen,Restaurant,breakfast/dessert,Rheinsberger Straße Mitte 10115 Berlin,Rheinsberger Straße,10115,Mitte,"52.53681, 13.39495",52.53681,13.39495,Mon-Fri: 09:00 - 15:00,here_maps
1009,Naan,Restaurant,asian,Oderberger Straße 49 Prenzlauer Berg 10435 Berlin,Oderberger Straße 49 Prenzlauer,10435,Berg,"52.53888, 13.40831",52.53888,13.40831,Mon-Sun: 12:00 - 00:00,here_maps
1010,Pane E Vino,Restaurant,mediterranean,Kastanienallee 2 Prenzlauer Berg 10435 Berlin,Kastanienallee 2 Prenzlauer,10435,Berg,"52.54053, 13.41151",52.54053,13.41151,"Mon-Thu, Sun: 11:00 - 23:00 Fri, Sat: 11:00 - 00:00",here_maps
1011,Morgenrot,Restaurant,vegetarian or vegan,Kastanienallee 85 Prenzlauer Berg 10435 Berlin,Kastanienallee 85 Prenzlauer,10435,Berg,"52.53754, 13.40892",52.53754,13.40892,Tue-Thu: 10:00 - 23:59 Fri-Sun: 11:00 - 23:59,here_maps
1012,Omoni,Restaurant,asian,Kopenhagener Straße 14 Prenzlauer Berg 10437 Berlin,Kopenhagener Straße 14 Prenzlauer,10437,Berg,"52.54911, 13.40894",52.54911,13.40894,Mon-Sun: 17:00 - 23:59,here_maps
1013,Indian Village,Restaurant,asian,Oderberger Straße 28 Prenzlauer Berg 10435 Berlin,Oderberger Straße 28 Prenzlauer,10435,Berg,"52.54023, 13.40586",52.54023,13.40586,,here_maps
1014,Kauf Dich Glucklich,Coffee/Tea,breakfast/dessert,Oderberger Straße 44 Prenzlauer Berg 10435 Berlin,Oderberger Straße 44 Prenzlauer,10435,Berg,"52.53925, 13.40734",52.53925,13.40734,Mon-Sun: 11:00 - 23:59,here_maps
1015,Die Schule,Restaurant,european,Kastanienallee 82 Prenzlauer Berg 10435 Berlin,Kastanienallee 82 Prenzlauer,10435,Berg,"52.53711, 13.40858",52.53711,13.40858,Mon-Sun: 11:00 - 23:59,here_maps
1016,"Fitery - Healthy, Sport & Fitness Food",Restaurant,international,Gleimstraße 27 Prenzlauer Berg 10437 Berlin,Gleimstraße 27 Prenzlauer,10437,Berg,"52.54742, 13.41195",52.54742,13.41195,Mon-Sun: 11:00 - 21:30,here_maps
1017,Café Krone,Restaurant,fastfood,Oderberger Straße 38 Prenzlauer Berg 10435 Berlin,Oderberger Straße 38 Prenzlauer,10435,Berg,"52.53971, 13.40611",52.53971,13.40611,Mon-Fri: 09:00 - 16:00 Sat: 09:30 - 18:30 Sun: 09:30 - 19:00,here_maps
1018,Holy Flat!,Restaurant,vegetarian or vegan,Eberswalder Straße 22 Prenzlauer Berg 10437 Berlin,Eberswalder Straße 22 Prenzlauer,10437,Berg,"52.54095, 13.41104",52.54095,13.41104,Mon-Fri: 11:30 - 21:30 Sat: 23:59 - 23:59 Sun: 23:59 - 22:00,here_maps
1019,Habba-Habba,Restaurant,middle eastern,Kastanienallee 15 Prenzlauer Berg 10435 Berlin,Kastanienallee 15 Prenzlauer,10435,Berg,"52.53886, 13.40975",52.53886,13.40975,Mon-Sun: 11:00 - 23:00,here_maps
1020,Burger World,Restaurant,american,Oderberger Straße 16 Prenzlauer Berg 10435 Berlin,Oderberger Straße 16 Prenzlauer,10435,Berg,"52.53933, 13.40826",52.53933,13.40826,"Mon, Tue, Sun: 10:00 - 03:00, 10:00 - 03:00, 11:00 - 23:59 Wed-Sat: 10:00 - 04:00, 10:00 - 04:00, 11:00 - 23:59",here_maps
1021,Taco Love,Restaurant,american,Eberswalder Straße Prenzlauer Berg 10437 Berlin,Eberswalder Straße Prenzlauer,10437,Berg,"52.54124, 13.41168",52.54124,13.41168,Mon-Fri: 12:00 - 21:30 Sat: 12:00 - 21:00,here_maps
1022,Naschpunkt,Restaurant,breakfast/dessert,Schivelbeiner Straße 10 Prenzlauer Berg 10439 Berlin,Schivelbeiner Straße 10 Prenzlauer,10439,Berg,"52.55106, 13.41085",52.55106,13.41085,Mon-Sun: 09:00 - 18:00,here_maps
1023,Wonderwaffel,Restaurant,breakfast/dessert,Grüntaler Straße 88 Gesundbrunnen 13357 Berlin,Grüntaler Straße 88,13357,Gesundbrunnen,"52.551, 13.38473",52.551,13.38473,"Mon-Thu, Sun: 11:30 - 23:00 Fri, Sat: 11:30 - 00:00",here_maps
1024,Shalimar,Restaurant,middle eastern,Bellermannstraße 17 Gesundbrunnen 13357 Berlin,Bellermannstraße 17,13357,Gesundbrunnen,"52.55232, 13.38759",52.55232,13.38759,"Mon-Sat: 17:00 - 23:00, 23:59 - 23:59 Sun: 17:00 - 23:00, 23:59 - 16:00",here_maps
1025,"Cafe Haferkater, Mauerpark",Coffee/Tea,breakfast/dessert,Eberswalder Straße 26 Prenzlauer Berg 10437 Berlin,Eberswalder Straße 26 Prenzlauer,10437,Berg,"52.54126, 13.41134",52.54126,13.41134,"Mon-Fri: 07:00 - 17:00 Sat, Sun: 08:00 - 17:00",here_maps
1026,Aceto Lokanta,Restaurant,mediterranean,Kastanienallee 4 Prenzlauer Berg 10435 Berlin,Kastanienallee 4 Prenzlauer,10435,Berg,"52.54027, 13.41123",52.54027,13.41123,Mon-Sat: 11:00 - 23:59 Sun: 11:00 - 04:00,here_maps
1027,Domino's Pizza,Restaurant,italian,Stralsunder Straße 61 Gesundbrunnen 13355 Berlin,Stralsunder Straße 61,13355,Gesundbrunnen,"52.53962, 13.39574",52.53962,13.39574,"Mon-Thu, Sun: 11:00 - 23:00 Fri, Sat: 11:00 - 00:00",here_maps
1028,Engelberg,Restaurant,breakfast/dessert,Oderberger Straße 21 Prenzlauer Berg 10435 Berlin,Oderberger Straße 21 Prenzlauer,10435,Berg,"52.5397, 13.40727",52.5397,13.40727,Tue-Sun: 10:00 - 18:00,here_maps
1029,Weinerei Perlin,Bar/Pub,,Griebenowstraße 5 Mitte 10435 Berlin,Griebenowstraße 5,10435,Mitte,"52.53584, 13.40486",52.53584,13.40486,Wed-Sat: 18:30 - 02:00,here_maps
1030,Kani Mani,Restaurant,,Kastanienallee 95 Prenzlauer Berg 10435 Berlin,Kastanienallee 95 Prenzlauer,10435,Berg,"52.53898, 13.41045",52.53898,13.41045,"Mon-Fri: 16:00 - 04:00 Sat, Sun: 14:00 - 04:00",here_maps
1031,Asteria,Restaurant,mediterranean,Schönhauser Allee 143 Prenzlauer Berg 10437 Berlin,Schönhauser Allee 143 Prenzlauer,10437,Berg,"52.5416, 13.4118",52.5416,13.4118,"Mon-Fri: 12:00 - 00:00, 16:00 - 23:59 Sat, Sun: 12:00 - 00:00, 13:00 - 23:59",here_maps
1032,El Sabor,Restaurant,steak,Gleimstraße 10 Prenzlauer Berg 10437 Berlin,Gleimstraße 10 Prenzlauer,10437,Berg,"52.54687, 13.4059",52.54687,13.4059,"Mon-Thu: 11:30 - 00:00, 11:30 - 00:00, 12:00 - 12:00, 16:00 - 12:00 Fri: 11:30 - 01:00, 11:30 - 01:00, 12:00 - 12:00, 16:00 - 12:00 Sat: 11:30 - 01:00, 11:30 - 01:00, 12:00 - 13:00 Sun: 10:00 - 00:00, 10:00 - 00:00, 10:00 - 12:00",here_maps
1033,Restaurant les Valseuses,Restaurant,european,Eberswalder Straße 28 Prenzlauer Berg 10437 Berlin,Eberswalder Straße 28 Prenzlauer,10437,Berg,"52.54131, 13.41083",52.54131,13.41083,Mon-Sun: 18:30 - 23:00,here_maps
1034,Labyrinth,Restaurant,european,Oderberger Straße 16 Prenzlauer Berg 10435 Berlin,Oderberger Straße 16 Prenzlauer,10435,Berg,"52.53933, 13.40826",52.53933,13.40826,Mon-Fri: 10:00 - 12:30,here_maps
1035,Vielfalter,Restaurant,american,Brunnenstraße 147 Mitte 10115 Berlin,Brunnenstraße 147,10115,Mitte,"52.5367, 13.39689",52.5367,13.39689,Mon-Fri: 09:00 - 20:00,here_maps
1036,Ristorante Bella Italia,Restaurant,mediterranean,Brunnenstraße 104 Gesundbrunnen 13355 Berlin,Brunnenstraße 104,13355,Gesundbrunnen,"52.54745, 13.38923",52.54745,13.38923,Mon-Sun: 11:00 - 23:59,here_maps
1037,BURGER KING,Restaurant,,Kastanienallee 24 Prenzlauer Berg 10435 Berlin,Kastanienallee 24 Prenzlauer,10435,Berg,"52.5377, 13.40851",52.5377,13.40851,"Mon-Thu, Sun: 12:00 - 21:00 Fri, Sat: 12:00 - 22:00",here_maps
1038,K'UPS,Restaurant,mediterranean,Kastanienallee 102 Prenzlauer Berg 10435 Berlin,Kastanienallee 102 Prenzlauer,10435,Berg,"52.53981, 13.41132",52.53981,13.41132,"Mon-Thu, Sun: 10:30 - 01:00 Fri, Sat: 10:30 - 03:00",here_maps
1039,Kapitalist,Bar/Pub,,Oderberger Straße 2 Prenzlauer Berg 10435 Berlin,Oderberger Straße 2 Prenzlauer,10435,Berg,"52.53815, 13.41137",52.53815,13.41137,"Mon-Thu, Sun: 11:00 - 02:00 Fri, Sat: 11:00 - 03:00",here_maps
1040,Rocca Pizza,Restaurant,italian,Gleimstraße 11 Prenzlauer Berg 10437 Berlin,Gleimstraße 11 Prenzlauer,10437,Berg,"52.54691, 13.40631",52.54691,13.40631,Mon-Sun: 12:00 - 23:00,here_maps
1041,Sobhi Ismail,Restaurant,asian,Kastanienallee 15 Prenzlauer Berg 10435 Berlin,Kastanienallee 15 Prenzlauer,10435,Berg,"52.53886, 13.40975",52.53886,13.40975,,here_maps
1042,Eismännchen,Food & Drink,breakfast/dessert,Iserstraße 8 14513 Teltow,Iserstraße,14513,8,"52.39362, 13.24453",52.39362,13.24453,,here_maps
1043,Shi Shan China Restaurant,Restaurant,asian,Potsdamer Straße 10 14513 Teltow,Potsdamer Straße,14513,10,"52.39817, 13.24492",52.39817,13.24492,Tue-Thu: 12:00 - 22:00 Fri-Sun: 12:00 - 23:00,here_maps
1044,Trattoria Toscana,Restaurant,italian,Iserstraße 8 14513 Teltow,Iserstraße,14513,8,"52.39362, 13.24453",52.39362,13.24453,Mon-Sun: 11:30 - 00:00,here_maps
1045,Athos,Restaurant,mediterranean,Iserstraße 10 14513 Teltow,Iserstraße,14513,10,"52.39336, 13.2446",52.39336,13.2446,Mon-Sat: 17:30 - 23:30 Sun: 12:00 - 14:00,here_maps
1046,Trattoria Vino E Cucina,Restaurant,mediterranean,Oderstraße 45 14513 Teltow,Oderstraße,14513,45,"52.40067, 13.24446",52.40067,13.24446,Mon-Sun: 11:30 - 23:30,here_maps
1047,Ristorante Casa Mia,Restaurant,mediterranean,Potsdamer Straße 41 14513 Teltow,Potsdamer Straße,14513,41,"52.40132, 13.25445",52.40132,13.25445,Mon-Sun: 11:30 - 23:59,here_maps
1048,Taverna Samos,Restaurant,mediterranean,Potsdamer Straße 68 14513 Teltow,Potsdamer Straße,14513,68,"52.40129, 13.26146",52.40129,13.26146,"Tue-Fri: 16:00 - 00:00 Sat, Sun: 12:00 - 00:00",here_maps
1049,Nuova Italia Ristorante,Restaurant,italian,Rheinstraße 7A 14513 Teltow,Rheinstraße,14513,7A,"52.40012, 13.24683",52.40012,13.24683,"Mon-Fri, Sun: 11:00 - 23:00 Sat: 17:00 - 12:00",here_maps
1050,Domino's Pizza,Restaurant,italian,Potsdamer Straße 53 14513 Teltow,Potsdamer Straße,14513,53,"52.40172, 13.25931",52.40172,13.25931,Mon-Sun: 11:00 - 23:00,here_maps
1051,Clubrestaurant in Sportpark,Sport Facility/Venue,,Fontanestraße 31 14532 Kleinmachnow,Fontanestraße,14532,31,"52.40179, 13.23578",52.40179,13.23578,,here_maps
1052,Pho Hoi an BBQ,Restaurant,asian,Potsdamer Straße 12A 14513 Teltow,Potsdamer Straße,14513,12A,"52.3986, 13.24645",52.3986,13.24645,Mon: 11:30 - 22:00 Tue-Sun: 11:00 - 22:00,here_maps
1053,Diekmann,Restaurant,,Alte Potsdamer Straße 5 14513 Teltow,Alte Potsdamer Straße,14513,5,"52.40235, 13.26044",52.40235,13.26044,,here_maps
1054,Curry Imbiss,Restaurant,fastfood,Oderstraße 80A 14513 Teltow,Oderstraße,14513,80A,"52.39645, 13.23557",52.39645,13.23557,Mon-Fri: 10:00 - 19:00 Sat: 10:30 - 16:00,here_maps
