Coordinates,Name,Type,Address,Cuisine_1,Cuisine_2,Opening Hours,Street,Bezirk,PLZ
"[52.45532, 13.32493]",Madonna del Castello,Restaurant,Schützenstraße 1 Steglitz 12165 Berlin,Pizza,Italian,Mon-Sat: 12:00 - 23:00 Sun: 15:00 - 23:00,Schützenstraße 1,Steglitz,12165.0
"[52.45572, 13.32383]",Kümes Chickenhouse,Restaurant,Berlinickestraße 16 Steglitz 12165 Berlin,Chicken,,,Berlinickestraße 16,Steglitz,12165.0
"[52.45197, 13.33006]",Pizza Max Steglitz,Eat & Drink,Klingsorstraße 14 Steglitz 12167 Berlin,Pizza,,Mon-Sun: 11:00 - 23:00,Klingsorstraße 14,Steglitz,12167.0
"[52.45265, 13.33049]",Restaurant le Canard,Restaurant,Klingsorstraße 8 Steglitz 12167 Berlin,Mediterranean,French,Tue-Sat: 16:00 - 23:00 Sun: 12:00 - 23:00,Klingsorstraße 8,Steglitz,12167.0
"[52.46691, 13.34394]",Berlinchen,Bar/Pub,Rubensstraße 88 Schöneberg 12157 Berlin,,,,Rubensstraße 88,Schöneberg,12157.0
"[52.46369, 13.33229]",Feuerbach Spiel Berlin,Business/Industry,Feuerbachstraße 34 Steglitz 12163 Berlin,,,,Feuerbachstraße 34,Steglitz,12163.0
"[52.45128, 13.32997]",Saiko Sushi,Restaurant,Klingsorstraße 19 Steglitz 12167 Berlin,Asian,Japanese - Sushi,,Klingsorstraße 19,Steglitz,12167.0
"[52.45501, 13.32455]",Weinbasis Weinbar & Weinhandel,Restaurant,Schützenstraße 3 Steglitz 12165 Berlin,,,"Tue, Sun: 17:00 - 22:00 Wed-Sat: 17:00 - 00:00, 17:00 - 00:00",Schützenstraße 3,Steglitz,12165.0
"[52.46694, 13.34302]",Bergamotto,Restaurant,Beckerstraße 23 Schöneberg 12157 Berlin,German,,,Beckerstraße 23,Schöneberg,12157.0
"[52.44002, 13.3427]",Golden Tea Garden,Restaurant,Leonorenstraße 60 Lankwitz 12247 Berlin,Asian,Chinese,,Leonorenstraße 60,Lankwitz,12247.0
"[52.45596, 13.32468]",Jing Yang,Restaurant,Albrechtstraße 125 Steglitz 12165 Berlin,Asian,Chinese,Mon-Sat: 12:00 - 22:00,Albrechtstraße 125,Steglitz,12165.0
"[52.44675, 13.32784]",Zum Borstel,Bar/Pub,Birkbuschstraße 62 Steglitz 12167 Berlin,,,,Birkbuschstraße 62,Steglitz,12167.0
"[52.46702, 13.33871]",Miséria & Nobilta,Restaurant,Beckerstraße 12 Schöneberg 12157 Berlin,Italian,,,Beckerstraße 12,Schöneberg,12157.0
"[52.45536, 13.32616]",Pizzeria la Mama,Restaurant,Albrechtstraße 119 Steglitz 12167 Berlin,Pizza,Italian,Mon-Sat: 11:00 - 22:00 Sun: 12:00 - 22:00,Albrechtstraße 119,Steglitz,12167.0
"[52.46369, 13.33229]",Gyros Grill,Restaurant,Feuerbachstraße 34 Steglitz 12163 Berlin,Greek,,Mon-Sun: 10:00 - 00:00,Feuerbachstraße 34,Steglitz,12163.0
"[52.45485, 13.32744]",Manhattan Pizza,Restaurant,Albrechtstraße 114 Steglitz 12167 Berlin,Pizza,Burgers,Tue-Sun: 11:00 - 22:45,Albrechtstraße 114,Steglitz,12167.0
"[52.46438, 13.34283]",Frohsinn,Restaurant,Cranachstraße 39 Schöneberg 12157 Berlin,International,,"Mon: 16:00 - 12:00 Tue, Wed: 16:00 - 12:00, 16:00 - 23:45 Thu: 16:00 - 13:00, 16:00 - 23:45 Fri: 12:00 - 13:30, 16:00 - 01:00, 16:00 - 23:45 Sat: 12:00 - 01:00, 12:00 - 23:45 Sun: 12:00 - 23:00",Cranachstraße 39,Schöneberg,12157.0
"[52.44557, 13.33043]",Cafe-Kneipe Sedan,Restaurant,Sedanstraße 25 Steglitz 12167 Berlin,,,Mon-Sun: 09:00 - 23:00,Sedanstraße 25,Steglitz,12167.0
"[52.46463, 13.33863]",La Marianna,Restaurant,Feuerbachstraße 63 Steglitz 12163 Berlin,Mediterranean,Pizza,Mon-Sun: 12:00 - 23:59,Feuerbachstraße 63,Steglitz,12163.0
"[52.45982, 13.32579]",Cafe Xerima,Bar/Pub,Hubertusstraße 6 Steglitz 12163 Berlin,,,"Mon-Thu: 15:00 - 02:00, 15:00 - 02:00, 17:00 - 23:59 Fri, Sat: 17:00 - 03:00, 17:00 - 03:00, 17:00 - 23:59 Sun: 17:00 - 02:00, 17:00 - 02:00, 17:00 - 23:59",Hubertusstraße 6,Steglitz,12163.0
"[52.45463, 13.32799]",Thai Food Sushi Bar,Restaurant,Albrechtstraße 112 Steglitz 12167 Berlin,Asian,Chinese,Mon-Sun: 10:00 - 22:00,Albrechtstraße 112,Steglitz,12167.0
"[52.46632, 13.33442]",Kultur Café,"Theatre, Music & Culture",Holsteinische Straße 30 Steglitz 12161 Berlin,,,,Holsteinische Straße 30,Steglitz,12161.0
"[52.44002, 13.3427]",Croque Berlin,Restaurant,Leonorenstraße 60 Lankwitz 12247 Berlin,,,,Leonorenstraße 60,Lankwitz,12247.0
"[52.45803, 13.32432]",Asia-Fast-Food,Restaurant,Düppelstraße 34 Steglitz 12163 Berlin,Asian,,"Mon-Fri: 11:00 - 22:00 Sat, Sun: 12:00 - 22:00",Düppelstraße 34,Steglitz,12163.0
"[52.46422, 13.33864]",Annagrazia,Food & Drink,Bismarckstraße 1 Steglitz 12157 Berlin,Ice cream,,Mon-Sun: 10:00 - 20:00,Bismarckstraße 1,Steglitz,12157.0
"[52.45546, 13.32508]",La Parrilla,Restaurant,Albrechtstraße 11 Steglitz 12165 Berlin,Argentinean,,,Albrechtstraße 11,Steglitz,12165.0
"[52.46288, 13.32804]",Dalmacija,Restaurant,Holsteinische Straße 55 Steglitz 12163 Berlin,International,Balkan,Tue-Sun: 12:00 - 23:00,Holsteinische Straße 55,Steglitz,12163.0
"[52.46702, 13.33871]",Italian Ristorante 41 Quarantuno,Restaurant,Beckerstraße 12 Schöneberg 12157 Berlin,Pizza,Sicilian,Mon-Sat: 16:00 - 23:00 Sun: 12:00 - 23:00,Beckerstraße 12,Schöneberg,12157.0
"[52.4551, 13.32511]",La Casserole,Restaurant,Schützenstraße 54 Steglitz 12165 Berlin,Middle Eastern,Mediterranean,Mon-Sat: 12:00 - 00:00,Schützenstraße 54,Steglitz,12165.0
"[52.44002, 13.3427]",King do,Restaurant,Leonorenstraße 60 Lankwitz 12247 Berlin,Asian,Thai,"Mon-Thu, Sat, Sun: 11:30 - 22:00 Fri: 12:00 - 22:00",Leonorenstraße 60,Lankwitz,12247.0
"[52.46671, 13.33894]",Pigasos,Restaurant,Beckerstraße 15 Schöneberg 12157 Berlin,German,Greek,,Beckerstraße 15,Schöneberg,12157.0
"[52.45593, 13.32401]",Coreana,Restaurant,Albrechtstraße 7 Steglitz 12165 Berlin,Asian,Korean,,Albrechtstraße 7,Steglitz,12165.0
"[52.45509, 13.32376]",Dottir,Restaurant,Mittelstraße 40 Steglitz 12165 Berlin,,,,Mittelstraße 40,Steglitz,12165.0
"[52.46812, 13.34234]",Cafe Lotte Jakob,Coffee/Tea,Cranachstraße 58 Schöneberg 12157 Berlin,,,Mon-Fri: 10:00 - 18:00 Sun: 14:00 - 18:00,Cranachstraße 58,Schöneberg,12157.0
"[52.45963, 13.36361]",Trattoria da Pizzo,Restaurant,Eythstraße 45 Schöneberg 12105 Berlin,Mediterranean,Pizza,Mon-Sun: 12:00 - 12:00,Eythstraße 45,Schöneberg,12105.0
"[52.4549, 13.32441]",Die Kaffeenauten,Coffee/Tea,Schützenstraße 4 Steglitz 12165 Berlin,,,Mon-Fri: 09:00 - 18:00 Sat: 10:00 - 18:00,Schützenstraße 4,Steglitz,12165.0
"[52.46729, 13.34245]",Licht des Sudens,Snacks/Fast food,Cranachstraße 53 Schöneberg 12157 Berlin,,,Mon-Fri: 08:00 - 19:00 Sat: 08:00 - 13:00,Cranachstraße 53,Schöneberg,12157.0
"[52.45794, 13.32881]",Trattoria Siciliana,Restaurant,Bergstraße 7 Steglitz 12169 Berlin,Pizza,Italian,Mon-Sat: 12:00 - 12:00 Sun: 10:30 - 12:00,Bergstraße 7,Steglitz,12169.0
"[52.45794, 13.32881]",Pizza Abholen Steglitz,Restaurant,Bergstraße 7 Steglitz 12169 Berlin,Pizza,Italian,Mon-Sat: 16:00 - 00:00 Sun: 12:00 - 00:00,Bergstraße 7,Steglitz,12169.0
"[52.46744, 13.34194]",Sairan,Restaurant,Cranachstraße 11 Schöneberg 12157 Berlin,Asian,,,Cranachstraße 11,Schöneberg,12157.0
"[52.4532, 13.45231]",Pizzeria Arrabbiata,Restaurant,Buschkrugallee 121 Britz 12359 Berlin,Pizza,,Mon-Sun: 11:00 - 23:59,Buschkrugallee 121,Britz,12359.0
"[52.45411, 13.45093]",Café am Buschkrug,Restaurant,Buschkrugallee 110 Britz 12359 Berlin,,,,Buschkrugallee 110,Britz,12359.0
"[52.4532, 13.45231]",Toscania City,Restaurant,Buschkrugallee 121 Britz 12359 Berlin,,,"Mon-Fri: 12:00 - 12:00 Sat, Sun: 11:00 - 12:00",Buschkrugallee 121,Britz,12359.0
"[52.45857, 13.44761]",Taverna Argo,Restaurant,Buschkrugallee 54 Britz 12359 Berlin,German,Greek,"Mon-Fri: 15:00 - 23:59 Sat, Sun: 12:00 - 23:59",Buschkrugallee 54,Britz,12359.0
"[52.45819, 13.44789]",Le Jardin,Restaurant,Buschkrugallee 60 Britz 12359 Berlin,German,,,Buschkrugallee 60,Britz,12359.0
"[52.45848, 13.44767]",Muttis Kleine Pause,Restaurant,Buschkrugallee 56 Britz 12359 Berlin,International,,,Buschkrugallee 56,Britz,12359.0
"[52.4552, 13.44484]",Gallo Nero,Restaurant,Hannemannstraße 34 Britz 12347 Berlin,,,"Mon, Wed-Sun: 12:00 - 00:00",Hannemannstraße 34,Britz,12347.0
"[52.459102, 13.447738]",Big Burger by Mustafa,Snacks/Fast food,Buschkrugallee Britz 12359 Berlin,Middle Eastern,Burgers,,Buschkrugallee,Britz,12359.0
"[52.4549, 13.4374]",Britzer Stübchen,Restaurant,Britzer Damm 88 Britz 12347 Berlin,,,,Britzer Damm 88,Britz,12347.0
"[52.45631, 13.43734]",Avala-Grill,Restaurant,Britzer Damm 71 Britz 12347 Berlin,American,Grill,Tue-Sun: 12:00 - 20:00,Britzer Damm 71,Britz,12347.0
"[52.45646, 13.43677]",Nuovoforno,Restaurant,Britzer Damm 68 Britz 12347 Berlin,Middle Eastern,Italian,Mon-Sun: 11:00 - 23:00,Britzer Damm 68,Britz,12347.0
"[52.45154, 13.43842]",Dana Pani,Restaurant,Britzer Damm 125 Britz 12347 Berlin,Asian,Indian,Mon-Sun: 11:00 - 12:00,Britzer Damm 125,Britz,12347.0
"[52.46139, 13.44362]",Suden Gartenwirtschaft,Restaurant,Priesterweg 10 Britz 12347 Berlin,German,,,Priesterweg 10,Britz,12347.0
"[52.45579, 13.43704]",La Mia,Restaurant,Britzer Damm 78 Britz 12347 Berlin,Pizza,Italian,"Mon-Thu, Sat, Sun: 12:00 - 22:15 Fri: 22:15 - 22:15",Britzer Damm 78,Britz,12347.0
"[52.45204, 13.43779]",Curry Paule,Snacks/Fast food,Britzer Damm 120 Britz 12347 Berlin,German,,"Mon-Fri: 08:00 - 12:00 Sat, Sun: 10:00 - 12:00",Britzer Damm 120,Britz,12347.0
"[52.44917, 13.43669]",Zum Britzer Krug,Restaurant,Britzer Damm 153 Britz 12347 Berlin,German,,,Britzer Damm 153,Britz,12347.0
"[52.46124, 13.44564]",Pizzeria Mona Mia,Restaurant,Buschkrugallee 32 Britz 12359 Berlin,Pizza,European,Mon-Sun: 11:30 - 12:00,Buschkrugallee 32,Britz,12359.0
"[52.4607, 13.4325]",Aladins Wundersnack,Restaurant,Germaniapromenade 18 Britz 12347 Berlin,Pizza,Italian,Mon-Sun: 10:00 - 22:00,Germaniapromenade 18,Britz,12347.0
"[52.45266, 13.4321]",Cafeteria J. Papenfuß,Restaurant,Gradestraße 36 Britz 12347 Berlin,German,,"Mon, Fri: 07:30 - 14:30 Tue-Thu: 07:30 - 15:00",Gradestraße 36,Britz,12347.0
"[52.46145, 13.43463]",Fu Long,Restaurant,Britzer Damm 18 Britz 12347 Berlin,Asian,Chinese,Tue-Sun: 12:00 - 23:30,Britzer Damm 18,Britz,12347.0
"[52.44969, 13.43636]",Chocolate & Cheese,Coffee/Tea,Britzer Damm 154 Britz 12347 Berlin,,,,Britzer Damm 154,Britz,12347.0
"[52.45297, 13.43819]",Britzer Bistro,Snacks/Fast food,Britzer Damm 112 Britz 12347 Berlin,Hot Dogs,,Mon-Sun: 09:00 - 21:00,Britzer Damm 112,Britz,12347.0
"[52.46293, 13.43453]",Der Berliner,Restaurant,Hermannstraße 138 Neukölln 12051 Berlin,Brewpub,German,"Mon-Wed: 16:00 - 12:00, 16:00 - 12:00 Thu-Sun: 12:00 - 12:00",Hermannstraße 138,Neukölln,12051.0
"[52.4555, 13.43773]",L.A Burger Lieferservice,Snacks/Fast food,Britzer Damm 81 Britz 12347 Berlin,American,,,Britzer Damm 81,Britz,12347.0
"[52.44622, 13.43708]",Ochsenstall Schloß Britz,Restaurant,AltBritz 81 Britz 12359 Berlin,,,,AltBritz 81,Britz,12359.0
"[52.45154, 13.43842]",Sushi Company Asia,Restaurant,Britzer Damm 125 Britz 12347 Berlin,Asian,Japanese - Sushi,,Britzer Damm 125,Britz,12347.0
"[52.45359, 13.43852]",Rialto Snack 3,Restaurant,Britzer Damm 105 Britz 12347 Berlin,Pizza,Italian,Mon-Sun: 12:00 - 21:45,Britzer Damm 105,Britz,12347.0
"[52.46157, 13.44539]",Lumera,Restaurant,Buschkrugallee 30 Britz 12359 Berlin,German,Italian,"Mon-Thu, Sun: 14:00 - 02:00, 14:00 - 02:00, 14:00 - 02:00 Fri, Sat: 14:00 - 04:00, 14:00 - 04:00, 14:00 - 04:00",Buschkrugallee 30,Britz,12359.0
"[52.461, 13.43604]",Oldies Bierhaus,Restaurant,Britzer Damm 21 Britz 12347 Berlin,German,,Tue-Fri: 17:30 - 12:00 Sat: 17:30 - 23:59,Britzer Damm 21,Britz,12347.0
"[52.45281, 13.43825]",Palm Lounge,Bar/Pub,Britzer Damm 114 Britz 12347 Berlin,,,,Britzer Damm 114,Britz,12347.0
"[52.46407, 13.43482]",Chez Gustave,Food & Drink,Glasower Straße 41 Neukölln 12051 Berlin,French,European,Mon-Sat: 09:00 - 22:00 Sun: 12:00 - 22:00,Glasower Straße 41,Neukölln,12051.0
"[52.46556, 13.43266]",Pho Phan,Restaurant,Hermannstraße 151 Neukölln 12051 Berlin,Asian,Vietnamese,Mon-Sat: 11:30 - 23:30 Sun: 14:00 - 23:30,Hermannstraße 151,Neukölln,12051.0
"[52.46524, 13.43285]",Mekan44,Going Out,Hermannstraße 149 Neukölln 12051 Berlin,,,,Hermannstraße 149,Neukölln,12051.0
"[52.468361, 13.449176]",Divan Ocakbasi,Restaurant,Lahnstraße 41 Neukölln 12055 Berlin,,,,Lahnstraße 41,Neukölln,12055.0
"[52.46493, 13.45485]",KFC,Restaurant,Grenzallee 37 Neukölln 12057 Berlin,Chicken,,"Mon-Thu, Sun: 11:00 - 23:00 Fri, Sat: 11:00 - 23:59",Grenzallee 37,Neukölln,12057.0
"[52.46495, 13.45344]",Imbiss Senel Kizilbayrak,Restaurant,Grenzallee 49 Neukölln 12057 Berlin,,,,Grenzallee 49,Neukölln,12057.0
"[52.46633, 13.44838]",Hauptstadt-Curry,Snacks/Fast food,Naumburger Straße 33 Neukölln 12057 Berlin,German,Hot Dogs,,Naumburger Straße 33,Neukölln,12057.0
"[52.465206, 13.455132]",KFC Berlin Grenzallee,Restaurant,Grenzallee 37 Neukölln 12057 Berlin,Chicken,,Mon-Sun: 11:00 - 23:00,Grenzallee 37,Neukölln,12057.0
"[52.46824, 13.44592]",Balmi Lachsräucherei,Restaurant,Lahnstraße 56 Neukölln 12055 Berlin,American,Barbecue,Mon-Fri: 07:00 - 15:30,Lahnstraße 56,Neukölln,12055.0
"[52.46652, 13.45736]",Marcello,Restaurant,Grenzallee 22 Neukölln 12057 Berlin,Pizza,,Mon-Thu: 12:00 - 21:30,Grenzallee 22,Neukölln,12057.0
"[52.45207, 13.42845]",Bsr-Betriebsrestaurant,Restaurant,Gradestraße Britz 12347 Berlin,,,Mon-Fri: 05:00 - 14:00,Gradestraße,Britz,12347.0
"[52.46783, 13.4442]",English Translations Learning English Robert Berridge Mathew,Restaurant,Lahnstraße 85 Neukölln 12055 Berlin,,,Wed-Sat: 12:00 - 18:00,Lahnstraße 85,Neukölln,12055.0
"[52.46592, 13.43267]",Chicken Grillhaus,Restaurant,Kranoldstraße Neukölln 12051 Berlin,American,Barbecue,,Kranoldstraße,Neukölln,12051.0
"[52.4639, 13.43845]",Maximilian,Snacks/Fast food,Juliusstraße 18 Neukölln 12051 Berlin,German,Hot Dogs,,Juliusstraße 18,Neukölln,12051.0
"[52.44318, 13.43447]",BURGER KING,Restaurant,Buckower Damm 11 Britz 12349 Berlin,,,"Mon-Thu: 08:00 - 01:00 Fri, Sat: 08:00 - 03:00 Sun: 10:00 - 01:00",Buckower Damm 11,Britz,12349.0
"[52.46732, 13.44226]",Pizzeria della Palme,Restaurant,KarlMarxStraße 243 Neukölln 12057 Berlin,Italian,,,KarlMarxStraße 243,Neukölln,12057.0
"[52.46864, 13.44493]",Hai la Roman,Snacks/Fast food,Lahnstraße Neukölln 12055 Berlin,Hot Dogs,Chicken,,Lahnstraße,Neukölln,12055.0
"[52.46753, 13.44222]",Lahn-Eck,Bar/Pub,KarlMarxStraße 241 Neukölln 12057 Berlin,,,Mon-Sat: 09:30 - 12:00 Sun: 09:30 - 16:00,KarlMarxStraße 241,Neukölln,12057.0
"[52.46521, 13.4339]",Cafe Wunderbar,Restaurant,Hertastraße 18 Neukölln 12051 Berlin,,,,Hertastraße 18,Neukölln,12051.0
"[52.46524, 13.43285]",Duman,Going Out,Hermannstraße 149 Neukölln 12051 Berlin,,,,Hermannstraße 149,Neukölln,12051.0
"[52.45711, 13.42738]",Ristorante Pizzeria Forchetta&Company,Restaurant,Treseburger Ufer 54 Britz 12347 Berlin,Pizza,Italian,Fri-Sun: 12:00 - 21:00,Treseburger Ufer 54,Britz,12347.0
"[52.4652, 13.43441]",La Cascina,Restaurant,Delbrückstraße 28 Neukölln 12051 Berlin,Italian,,,Delbrückstraße 28,Neukölln,12051.0
"[52.45221, 13.43188]",Ketchup 35,Snacks/Fast food,Gradestraße 35 Britz 12347 Berlin,German,,Mon-Sat: 09:00 - 13:00 Sun: 11:00 - 23:59,Gradestraße 35,Britz,12347.0
"[52.44454, 13.43378]",Steakhaus Barbecue,Restaurant,Britzer Damm 209 Britz 12347 Berlin,Australian,Steak,Mon-Sun: 11:30 - 00:00,Britzer Damm 209,Britz,12347.0
"[52.46466, 13.44294]",Sushi-Fabrik Berlin,Restaurant,KarlMarxStraße 270 Neukölln 12057 Berlin,Asian,Japanese - Sushi,Mon-Thu: 11:00 - 22:30 Fri: 15:00 - 23:30 Sat: 12:00 - 23:30 Sun: 12:00 - 22:30,KarlMarxStraße 270,Neukölln,12057.0
"[52.46521, 13.44239]",Mehana Balgaran,Restaurant,KarlMarxStraße 266 Neukölln 12057 Berlin,Balkan,,"Mon-Thu, Sun: 09:00 - 00:00 Fri, Sat: 09:00 - 03:00",KarlMarxStraße 266,Neukölln,12057.0
"[52.46779, 13.44179]",Antepli Haciogullari,Restaurant,KarlMarxStraße 240 Neukölln 12055 Berlin,Middle Eastern,,,KarlMarxStraße 240,Neukölln,12055.0
"[52.46566, 13.43212]",Asude,Restaurant,Hermannstraße 120 Neukölln 12051 Berlin,Turkish,German,Mon-Sun: 09:00 - 01:00,Hermannstraße 120,Neukölln,12051.0
"[52.46084, 13.46407]",Grand Palast Dügün Salonu,Restaurant,Nobelstraße 36 Neukölln 12057 Berlin,,,,Nobelstraße 36,Neukölln,12057.0
"[52.44395, 13.43231]",La Familia,Snacks/Fast food,Mohriner Allee 10 Britz 12347 Berlin,Pizza,Burgers,,Mohriner Allee 10,Britz,12347.0
"[52.44395, 13.43231]",Kuem-Ja Restaurant,Restaurant,Mohriner Allee 10 Britz 12347 Berlin,Asian,Korean,Wed-Sun: 13:00 - 20:00,Mohriner Allee 10,Britz,12347.0
"[52.39287, 13.20285]",Cafe Marlies,Coffee/Tea,Kastanienweg 36 14532 Stahnsdorf,,,,Kastanienweg,36,14532.0
"[52.39272, 13.20148]",Fook Lam Mun,Restaurant,Alte Potsdamer Landstraße 43 14532 Stahnsdorf,Asian,Chinese,Mon-Sun: 11:30 - 22:30,Alte Potsdamer Landstraße,43,14532.0
"[52.387853, 13.190356]",Restaurant Tick-Tack,Restaurant,Bahnhofstraße 25 14532 Stahnsdorf,German,French,"Sat, Sun: 12:00 - 18:00",Bahnhofstraße,25,14532.0
"[52.394477, 13.208188]",Griechisches Restaurant Korfu Stahnsdorf,Restaurant,Bäkepromenade 1 14532 Stahnsdorf,Greek,International,Mon-Sat: 11:30 - 23:30 Sun: 11:30 - 22:00,Bäkepromenade,1,14532.0
"[52.39665, 13.20738]",Bapu Restaurant,Restaurant,Stahnsdorfer Damm 19 14532 Kleinmachnow,Asian,Indian,,Stahnsdorfer Damm,19,14532.0
"[52.40423, 13.21472]",Meteora,Restaurant,AugustBebelPlatz 4 14532 Kleinmachnow,Greek,International,Tue-Sun: 12:00 - 00:00,AugustBebelPlatz,4,14532.0
"[52.406669, 13.186924]",Ebay Kantine,Restaurant,Marktplatz 14532 Kleinmachnow,,,,,,
"[52.59663, 13.33302]",Aanjal,Restaurant,Oranienburger Straße 92 Wittenau 13437 Berlin,Asian,Indian,"Mon-Thu, Sun: 11:30 - 23:00 Fri, Sat: 11:30 - 23:45",Oranienburger Straße 92,Wittenau,13437.0
"[52.60316, 13.33457]",Relief,Restaurant,Eichhorster Weg 93 Wittenau 13435 Berlin,German,,Mon-Sun: 08:00 - 21:00,Eichhorster Weg 93,Wittenau,13435.0
"[52.60924, 13.3354]",Pizzeria Leonardo da Vinci Berlin,Restaurant,Titiseestraße 5 Waidmannslust 13469 Berlin,Pizza,Italian,"Mon-Fri: 12:00 - 22:00 Sat, Sun: 15:00 - 22:00",Titiseestraße 5,Waidmannslust,13469.0
"[52.60316, 13.33457]",Dalldorfer Wirtschaft,Bar/Pub,Eichhorster Weg 93 Wittenau 13435 Berlin,German,,"Mon-Thu: 08:30 - 22:00 Fri, Sat: 08:30 - 00:00 Sun: 13:00 - 20:00",Eichhorster Weg 93,Wittenau,13435.0
"[52.60924, 13.3354]",Papa Pizza,Restaurant,Titiseestraße 5 Waidmannslust 13469 Berlin,Pizza,,,Titiseestraße 5,Waidmannslust,13469.0
"[52.61099, 13.34395]",Die Schorfheider Warenhandelsgesellschaft,Food & Drink,AEGStraße 10 Lübars 13469 Berlin,,,,AEGStraße 10,Lübars,13469.0
"[52.59678, 13.33298]",Da Massimo Trattoria,Restaurant,Oranienburger Straße 93 Wittenau 13437 Berlin,Pizza,Italian,Mon-Sun: 11:30 - 22:45,Oranienburger Straße 93,Wittenau,13437.0
"[52.5965, 13.33305]",Markische Bierstuben,Bar/Pub,Oranienburger Straße 91 Wittenau 13437 Berlin,,,Mon-Sat: 09:00 - 23:00 Sun: 10:00 - 23:00,Oranienburger Straße 91,Wittenau,13437.0
"[52.59585, 13.33527]",Pizza Fabrik Berlin,Restaurant,Wilhelmsruher Damm 236 Wittenau 13435 Berlin,Pizza,Italian,,Wilhelmsruher Damm 236,Wittenau,13435.0
"[52.59591, 13.3357]",Ebruli Koeftehaus,Restaurant,Wilhelmsruher Damm 232 Wittenau 13435 Berlin,American,Barbecue,"Mon-Fri: 07:00 - 19:00 Sat, Sun: 08:00 - 19:00",Wilhelmsruher Damm 232,Wittenau,13435.0
"[52.59678, 13.33298]",The Vinh,Restaurant,Oranienburger Straße 93 Wittenau 13437 Berlin,Asian,Vietnamese,"Mon-Fri: 11:00 - 22:30 Sat, Sun: 12:00 - 23:00",Oranienburger Straße 93,Wittenau,13437.0
"[52.59588, 13.33602]",First Kebab,Restaurant,Wilhelmsruher Damm 230 Wittenau 13435 Berlin,Middle Eastern,,"Mon, Wed, Fri: 07:00 - 23:00 Tue, Thu: 09:00 - 23:00 Sat, Sun: 10:00 - 20:00",Wilhelmsruher Damm 230,Wittenau,13435.0
"[52.60924, 13.3354]",Pizzeria da Minno,Restaurant,Titiseestraße 5 Waidmannslust 13469 Berlin,Pizza,,,Titiseestraße 5,Waidmannslust,13469.0
"[52.60532, 13.35675]",Grill Time,Restaurant,Senftenberger Ring 46 Märkisches Viertel 13435 Berlin,Middle Eastern,Pizza,,Senftenberger Ring 46 Märkisches,Viertel,13435.0
"[52.59581, 13.33407]",Döner Time,Food & Drink,Wilhelmsruher Damm 242 Wittenau 13435 Berlin,Turkish,Middle Eastern,Mon: 09:00 - 02:00,Wilhelmsruher Damm 242,Wittenau,13435.0
"[52.59488, 13.33185]",Domino's Pizza,Restaurant,Eichborndamm 292 Wittenau 13437 Berlin,Pizza,,Mon-Sun: 11:00 - 23:00,Eichborndamm 292,Wittenau,13437.0
"[52.61818, 13.35431]",Landfleischers Gaststätte,Restaurant,ZabelKrügerDamm 237 Lübars 13469 Berlin,German,,,ZabelKrügerDamm 237,Lübars,13469.0
"[52.60973, 13.32955]",Restaurant Cristallo,Restaurant,ZabelKrügerDamm 31 Waidmannslust 13469 Berlin,Pizza,Italian,Tue-Sun: 12:00 - 23:59,ZabelKrügerDamm 31,Waidmannslust,13469.0
"[52.60658, 13.32454]",Bulli S Genussbox,Restaurant,Oraniendamm 69 Waidmannslust 13469 Berlin,German,,Mon-Fri: 08:00 - 16:00,Oraniendamm 69,Waidmannslust,13469.0
"[52.6089, 13.32703]",Romano,Restaurant,ZabelKrügerDamm 15 Waidmannslust 13469 Berlin,Pizza,Italian,"Mon-Thu, Sun: 12:00 - 23:59 Fri, Sat: 12:00 - 13:00",ZabelKrügerDamm 15,Waidmannslust,13469.0
"[52.6175, 13.35495]",Landhaus Alt-Lubars,Restaurant,AltLübars 1D Lübars 13469 Berlin,Austrian,Swiss,"Mon, Thu, Fri: 16:00 - 22:00 Sat, Sun: 12:00 - 22:00",AltLübars 1D,Lübars,13469.0
"[52.61774, 13.35322]",Restaurant Fließtal Reithalle,Restaurant,ZabelKrügerDamm 229 Lübars 13469 Berlin,,,,ZabelKrügerDamm 229,Lübars,13469.0
"[52.60936, 13.32845]",Restaurant & Pizzeria Malibu,Restaurant,ZabelKrügerDamm 23 Waidmannslust 13469 Berlin,Italian,,,ZabelKrügerDamm 23,Waidmannslust,13469.0
"[52.60759, 13.32619]",BURGER KING,Snacks/Fast food,Oraniendamm 6 Waidmannslust 13469 Berlin,Burgers,Hot Dogs,"Mon-Thu: 09:00 - 01:00 Fri, Sat: 09:00 - 03:00 Sun: 10:00 - 01:00",Oraniendamm 6,Waidmannslust,13469.0
"[52.61, 13.3304]",Dionysos,Restaurant,ZabelKrügerDamm 35 Waidmannslust 13469 Berlin,Greek,International,Mon-Sat: 12:00 - 23:30 Sun: 12:00 - 23:00,ZabelKrügerDamm 35,Waidmannslust,13469.0
"[52.61784, 13.35454]",Eisdiele Angelina,Food & Drink,AltLübars 36 Lübars 13469 Berlin,Ice cream,,Mon-Sun: 11:00 - 21:00,AltLübars 36,Lübars,13469.0
"[52.597155, 13.330543]",Restaurant First Service,Restaurant,Göschenstraße 7 Wittenau 13437 Berlin,Asian,Vietnamese,,Göschenstraße 7,Wittenau,13437.0
"[52.59542, 13.33524]",Frank Laskowski,Restaurant,Wilhelmsruher Damm 231 Wittenau 13435 Berlin,German,,,Wilhelmsruher Damm 231,Wittenau,13435.0
